winner,loser,winner_wins,loser_wins,total_games,win_percentage,lose_percentage
kingdedede,ness,3930,3051,6981,56.30,43.70
terry,roy,2714,2107,4821,56.30,43.70
rob,miigunner,1030,800,1830,56.28,43.72
younglink,lucina,1672,1299,2971,56.28,43.72
megaman,jigglypuff,915,711,1626,56.27,43.73
wiifittrainer,captainfalcon,1974,1534,3508,56.27,43.73
steve,samus,2948,2291,5239,56.27,43.73
minmin,pikachu,1620,1259,2879,56.27,43.73
darksamus,pit,211,164,375,56.27,43.73
kazuya,bayonetta,1895,1473,3368,56.26,43.74
richter,villager,265,206,471,56.26,43.74
wiifittrainer,daisy,274,213,487,56.26,43.74
simon,hero,346,269,615,56.26,43.74
fox,random,346,269,615,56.26,43.74
kazuya,daisy,418,325,743,56.26,43.74
ridley,roy,1624,1263,2887,56.25,43.75
kingdedede,pichu,878,683,1561,56.25,43.75
donkeykong,sheik,766,596,1362,56.24,43.76
darksamus,lucina,712,554,1266,56.24,43.76
ness,byleth,3164,2462,5626,56.24,43.76
wolf,sephiroth,2511,1954,4465,56.24,43.76
kazuya,bowser,3360,2615,5975,56.23,43.77
pichu,miiswordfighter,221,172,393,56.23,43.77
shulk,lucina,1187,924,2111,56.23,43.77
iceclimbers,joker,1463,1139,2602,56.23,43.77
ike,younglink,1432,1115,2547,56.22,43.78
kazuya,ganondorf,1830,1425,3255,56.22,43.78
bayonetta,ganondorf,1184,922,2106,56.22,43.78
robin,mewtwo,565,440,1005,56.22,43.78
metaknight,falco,963,750,1713,56.22,43.78
darkpit,lucina,927,722,1649,56.22,43.78
duckhunt,toonlink,484,377,861,56.21,43.79
bayonetta,miibrawler,950,740,1690,56.21,43.79
darksamus,pokemontrainer,946,737,1683,56.21,43.79
ike,link,2101,1637,3738,56.21,43.79
bayonetta,mrgameandwatch,2006,1563,3569,56.21,43.79
richter,ike,616,480,1096,56.20,43.80
link,joker,4512,3518,8030,56.19,43.81
kazuya,kingkrool,2347,1830,4177,56.19,43.81
darksamus,jigglypuff,722,563,1285,56.19,43.81
bowserjr,falco,1395,1088,2483,56.18,43.82
pokemontrainer,sephiroth,2191,1709,3900,56.18,43.82
bowser,marth,1305,1018,2323,56.18,43.82
iceclimbers,younglink,555,433,988,56.17,43.83
palutena,byleth,2959,2309,5268,56.17,43.83
banjokazooie,younglink,1407,1098,2505,56.17,43.83
ryu,roy,752,587,1339,56.16,43.84
steve,hero,2877,2246,5123,56.16,43.84
robin,daisy,260,203,463,56.16,43.84
wolf,corrin,1852,1447,3299,56.14,43.86
ryu,lucario,183,143,326,56.13,43.87
sonic,ganondorf,1661,1298,2959,56.13,43.87
bowserjr,corrin,659,515,1174,56.13,43.87
ryu,mario,916,716,1632,56.13,43.87
snake,kingkrool,3117,2437,5554,56.12,43.88
drmario,greninja,972,760,1732,56.12,43.88
snake,zerosuitsamus,2779,2173,4952,56.12,43.88
daisy,pyra,546,427,973,56.12,43.88
samus,pichu,817,639,1456,56.11,43.89
ike,incineroar,1673,1309,2982,56.10,43.90
ness,darkpit,1191,932,2123,56.10,43.90
olimar,piranhaplant,322,252,574,56.10,43.90
steve,miibrawler,1694,1326,3020,56.09,43.91
pacman,mario,2548,1995,4543,56.09,43.91
mewtwo,lucina,793,621,1414,56.08,43.92
steve,cloud,6317,4947,11264,56.08,43.92
falco,lucina,2404,1883,4287,56.08,43.92
hero,joker,3397,2661,6058,56.07,43.93
wario,darkpit,582,456,1038,56.07,43.93
megaman,darkpit,407,319,726,56.06,43.94
isabelle,zerosuitsamus,810,635,1445,56.06,43.94
ken,link,1273,998,2271,56.05,43.95
snake,littlemac,2415,1894,4309,56.05,43.95
terry,kirby,2195,1722,3917,56.04,43.96
rob,chrom,1462,1147,2609,56.04,43.96
luigi,miibrawler,1260,989,2249,56.02,43.98
donkeykong,chrom,1116,876,1992,56.02,43.98
pichu,byleth,772,606,1378,56.02,43.98
robin,bowserjr,791,621,1412,56.02,43.98
robin,peach,633,497,1130,56.02,43.98
kingdedede,sephiroth,1989,1562,3551,56.01,43.99
peach,captainfalcon,1295,1017,2312,56.01,43.99
terry,villager,783,615,1398,56.01,43.99
minmin,isabelle,937,736,1673,56.01,43.99
mrgameandwatch,mario,2681,2106,4787,56.01,43.99
richter,cloud,1287,1011,2298,56.01,43.99
pacman,roy,2012,1581,3593,56.00,44.00
ridley,random,285,224,509,55.99,44.01
yoshi,random,678,533,1211,55.99,44.01
sonic,zelda,2020,1588,3608,55.99,44.01
terry,mewtwo,1142,898,2040,55.98,44.02
corrin,lucina,1289,1014,2303,55.97,44.03
richter,jigglypuff,572,450,1022,55.97,44.03
ken,wario,713,561,1274,55.97,44.03
bowserjr,jigglypuff,1234,971,2205,55.96,44.04
zerosuitsamus,sheik,671,528,1199,55.96,44.04
ryu,cloud,1251,985,2236,55.95,44.05
ike,rosalina,419,330,749,55.94,44.06
drmario,pyra,1177,927,2104,55.94,44.06
kazuya,younglink,1262,994,2256,55.94,44.06
snake,bowser,4945,3896,8841,55.93,44.07
sonic,richter,962,758,1720,55.93,44.07
bayonetta,greninja,1571,1238,2809,55.93,44.07
mrgameandwatch,wario,1161,915,2076,55.92,44.08
rosalina,random,118,93,211,55.92,44.08
palutena,corrin,1705,1344,3049,55.92,44.08
simon,falco,416,328,744,55.91,44.09
bowserjr,ridley,799,630,1429,55.91,44.09
darksamus,sephiroth,648,511,1159,55.91,44.09
miigunner,hero,658,519,1177,55.90,44.10
banjokazooie,lucas,1250,986,2236,55.90,44.10
rosalina,fox,569,449,1018,55.89,44.11
donkeykong,captainfalcon,3661,2889,6550,55.89,44.11
littlemac,falco,1988,1569,3557,55.89,44.11
greninja,sephiroth,1191,940,2131,55.89,44.11
wiifittrainer,sephiroth,1248,985,2233,55.89,44.11
sonic,younglink,1913,1510,3423,55.89,44.11
miigunner,diddykong,437,345,782,55.88,44.12
bowserjr,piranhaplant,718,567,1285,55.88,44.12
byleth,random,509,402,911,55.87,44.13
toonlink,littlemac,1047,827,1874,55.87,44.13
greninja,ganondorf,1358,1073,2431,55.86,44.14
robin,roy,1449,1145,2594,55.86,44.14
palutena,joker,7187,5680,12867,55.86,44.14
megaman,kingdedede,974,770,1744,55.85,44.15
chrom,villager,320,253,573,55.85,44.15
zerosuitsamus,jigglypuff,1540,1218,2758,55.84,44.16
pacman,ganondorf,1483,1173,2656,55.84,44.16
incineroar,random,493,390,883,55.83,44.17
bayonetta,fox,1461,1156,2617,55.83,44.17
random,corrin,369,292,661,55.82,44.18
link,mewtwo,1021,808,1829,55.82,44.18
kingdedede,rosalina,542,429,971,55.82,44.18
simon,pit,120,95,215,55.81,44.19
bowserjr,bowser,2146,1699,3845,55.81,44.19
wiifittrainer,yoshi,2276,1802,4078,55.81,44.19
ike,pyra,2229,1765,3994,55.81,44.19
richter,diddykong,519,411,930,55.81,44.19
captainfalcon,corrin,1592,1261,2853,55.80,44.20
fox,joker,3827,3032,6859,55.80,44.20
kingkrool,littlemac,2441,1934,4375,55.79,44.21
rob,incineroar,3304,2618,5922,55.79,44.21
diddykong,darkpit,569,451,1020,55.78,44.22
mario,corrin,1577,1250,2827,55.78,44.22
duckhunt,captainfalcon,1037,822,1859,55.78,44.22
donkeykong,jigglypuff,2847,2257,5104,55.78,44.22
captainfalcon,lucina,2908,2306,5214,55.77,44.23
sonic,lucario,851,675,1526,55.77,44.23
luigi,drmario,1273,1010,2283,55.76,44.24
drmario,joker,1743,1383,3126,55.76,44.24
miigunner,incineroar,644,511,1155,55.76,44.24
steve,terry,4644,3685,8329,55.76,44.24
sonic,link,2567,2037,4604,55.76,44.24
minmin,hero,1880,1492,3372,55.75,44.25
pokemontrainer,kirby,2069,1642,3711,55.75,44.25
littlemac,mewtwo,887,704,1591,55.75,44.25
snake,drmario,1459,1158,2617,55.75,44.25
wolf,joker,6667,5292,11959,55.75,44.25
ness,mewtwo,1446,1148,2594,55.74,44.26
ike,cloud,3067,2435,5502,55.74,44.26
piranhaplant,corrin,748,594,1342,55.74,44.26
palutena,rosalina,1025,814,1839,55.74,44.26
bayonetta,peach,928,737,1665,55.74,44.26
captainfalcon,pyra,3978,3160,7138,55.73,44.27
donkeykong,hero,2094,1664,3758,55.72,44.28
miiswordfighter,falco,609,484,1093,55.72,44.28
shulk,marth,400,318,718,55.71,44.29
ganondorf,corrin,961,764,1725,55.71,44.29
samus,lucas,1688,1342,3030,55.71,44.29
ganondorf,pyra,1932,1536,3468,55.71,44.29
richter,iceclimbers,249,198,447,55.70,44.30
simon,corrin,171,136,307,55.70,44.30
roy,lucario,817,650,1467,55.69,44.31
rosalina,marth,230,183,413,55.69,44.31
darksamus,mario,979,779,1758,55.69,44.31
terry,byleth,3003,2390,5393,55.68,44.32
incineroar,sheik,828,659,1487,55.68,44.32
drmario,pit,299,238,537,55.68,44.32
drmario,marth,402,320,722,55.68,44.32
kingdedede,peach,868,691,1559,55.68,44.32
kingkrool,pyra,3173,2526,5699,55.68,44.32
mewtwo,random,211,168,379,55.67,44.33
darksamus,chrom,373,297,670,55.67,44.33
zerosuitsamus,marth,751,598,1349,55.67,44.33
banjokazooie,link,1925,1533,3458,55.67,44.33
ridley,pit,452,360,812,55.67,44.33
yoshi,pit,737,587,1324,55.66,44.34
kirby,lucina,1764,1405,3169,55.66,44.34
lucario,joker,1323,1054,2377,55.66,44.34
shulk,corrin,546,435,981,55.66,44.34
mario,random,581,463,1044,55.65,44.35
snake,miiswordfighter,926,738,1664,55.65,44.35
kingkrool,shulk,1050,837,1887,55.64,44.36
isabelle,falco,1312,1046,2358,55.64,44.36
lucas,corrin,908,724,1632,55.64,44.36
mario,mewtwo,1008,804,1812,55.63,44.37
palutena,darkpit,1307,1043,2350,55.62,44.38
wiifittrainer,inkling,1832,1462,3294,55.62,44.38
simon,inkling,342,273,615,55.61,44.39
palutena,lucario,1180,942,2122,55.61,44.39
steve,olimar,714,570,1284,55.61,44.39
bowserjr,link,1359,1085,2444,55.61,44.39
link,younglink,1647,1315,2962,55.60,44.40
palutena,sora,2357,1882,4239,55.60,44.40
olimar,random,139,111,250,55.60,44.40
palutena,younglink,2890,2308,5198,55.60,44.40
megaman,sheik,298,238,536,55.60,44.40
bayonetta,zerosuitsamus,1257,1004,2261,55.59,44.41
bowserjr,chrom,492,393,885,55.59,44.41
steve,pacman,2760,2205,4965,55.59,44.41
bayonetta,mario,2215,1770,3985,55.58,44.42
wiifittrainer,pyra,1837,1468,3305,55.58,44.42
rob,metaknight,1440,1151,2591,55.58,44.42
rob,ness,5482,4382,9864,55.58,44.42
metaknight,littlemac,638,510,1148,55.57,44.43
younglink,mewtwo,658,526,1184,55.57,44.43
bowserjr,greninja,987,789,1776,55.57,44.43
minmin,falco,2063,1650,3713,55.56,44.44
terry,younglink,2148,1718,3866,55.56,44.44
villager,robin,480,384,864,55.56,44.44
lucas,pikachu,1646,1317,2963,55.55,44.45
hero,iceclimbers,636,509,1145,55.55,44.45
shulk,toonlink,616,493,1109,55.55,44.45
miiswordfighter,joker,1042,834,1876,55.54,44.46
yoshi,pikachu,2876,2302,5178,55.54,44.46
piranhaplant,kirby,957,766,1723,55.54,44.46
drmario,piranhaplant,647,518,1165,55.54,44.46
megaman,lucas,803,643,1446,55.53,44.47
wolf,marth,1325,1061,2386,55.53,44.47
minmin,ness,2886,2311,5197,55.53,44.47
ness,inkling,4068,3258,7326,55.53,44.47
peach,pikachu,1171,938,2109,55.52,44.48
rob,bowser,5448,4364,9812,55.52,44.48
ridley,captainfalcon,2204,1766,3970,55.52,44.48
lucas,chrom,785,629,1414,55.52,44.48
duckhunt,pokemontrainer,1153,924,2077,55.51,44.49
wiifittrainer,link,1561,1251,2812,55.51,44.49
luigi,cloud,4826,3870,8696,55.50,44.50
inkling,piranhaplant,1520,1219,2739,55.49,44.51
kingkrool,corrin,1212,972,2184,55.49,44.51
samus,fox,2040,1637,3677,55.48,44.52
drmario,falco,1101,884,1985,55.47,44.53
lucas,ganondorf,1234,991,2225,55.46,44.54
miibrawler,zerosuitsamus,823,661,1484,55.46,44.54
donkeykong,lucas,1867,1500,3367,55.45,44.55
greninja,sheik,794,638,1432,55.45,44.55
steve,drmario,1339,1076,2415,55.45,44.55
pacman,chrom,886,712,1598,55.44,44.56
villager,piranhaplant,382,307,689,55.44,44.56
wiifittrainer,lucas,1085,872,1957,55.44,44.56
ike,lucas,1452,1167,2619,55.44,44.56
miigunner,ganondorf,428,344,772,55.44,44.56
younglink,kirby,1076,865,1941,55.44,44.56
mario,darkpit,903,726,1629,55.43,44.57
duckhunt,piranhaplant,480,386,866,55.43,44.57
bowserjr,kingkrool,1624,1306,2930,55.43,44.57
littlemac,sephiroth,1420,1142,2562,55.43,44.57
kazuya,megaman,782,629,1411,55.42,44.58
terry,pokemontrainer,3661,2945,6606,55.42,44.58
rosalina,corrin,430,346,776,55.41,44.59
ryu,fox,538,433,971,55.41,44.59
peach,marth,446,359,805,55.40,44.60
miiswordfighter,pikachu,667,537,1204,55.40,44.60
pacman,mrgameandwatch,2094,1686,3780,55.40,44.60
pacman,incineroar,1664,1340,3004,55.39,44.61
inkling,ridley,1654,1332,2986,55.39,44.61
ridley,darkpit,637,513,1150,55.39,44.61
falco,byleth,2377,1915,4292,55.38,44.62
sonic,olimar,649,523,1172,55.38,44.62
bayonetta,captainfalcon,2190,1765,3955,55.37,44.63
sonic,daisy,449,362,811,55.36,44.64
miigunner,ryu,160,129,289,55.36,44.64
iceclimbers,kirby,542,437,979,55.36,44.64
lucario,marth,279,225,504,55.36,44.64
simon,miibrawler,155,125,280,55.36,44.64
ridley,wolf,2150,1734,3884,55.36,44.64
kazuya,rosalina,636,513,1149,55.35,44.65
rob,greninja,2875,2319,5194,55.35,44.65
luigi,link,2638,2128,4766,55.35,44.65
inkling,darkpit,1051,848,1899,55.34,44.66
minmin,banjokazooie,1600,1291,2891,55.34,44.66
miiswordfighter,marth,259,209,468,55.34,44.66
palutena,kirby,2137,1725,3862,55.33,44.67
wario,zerosuitsamus,1131,913,2044,55.33,44.67
ridley,chrom,602,486,1088,55.33,44.67
miiswordfighter,incineroar,571,461,1032,55.33,44.67
shulk,pyra,1381,1115,2496,55.33,44.67
sonic,captainfalcon,2757,2226,4983,55.33,44.67
metaknight,roy,853,689,1542,55.32,44.68
olimar,darkpit,177,143,320,55.31,44.69
miiswordfighter,sora,459,371,830,55.30,44.70
luigi,greninja,1915,1548,3463,55.30,44.70
megaman,joker,1932,1562,3494,55.29,44.71
peach,joker,2094,1693,3787,55.29,44.71
minmin,kazuya,1898,1535,3433,55.29,44.71
robin,kingkrool,1486,1202,2688,55.28,44.72
duckhunt,pikachu,785,635,1420,55.28,44.72
donkeykong,mewtwo,1142,924,2066,55.28,44.72
drmario,yoshi,1310,1060,2370,55.27,44.73
drmario,miibrawler,587,475,1062,55.27,44.73
pokemontrainer,darkpit,1211,980,2191,55.27,44.73
ryu,metaknight,236,191,427,55.27,44.73
darksamus,pacman,750,607,1357,55.27,44.73
ridley,lucario,514,416,930,55.27,44.73
incineroar,daisy,530,429,959,55.27,44.73
bayonetta,bowser,2671,2162,4833,55.27,44.73
ness,sephiroth,2546,2061,4607,55.26,44.74
falco,darkpit,856,693,1549,55.26,44.74
lucas,roy,1682,1362,3044,55.26,44.74
snake,banjokazooie,2408,1950,4358,55.25,44.75
pokemontrainer,byleth,2593,2100,4693,55.25,44.75
ken,ike,1147,929,2076,55.25,44.75
wiifittrainer,ganondorf,1137,921,2058,55.25,44.75
richter,sheik,237,192,429,55.24,44.76
richter,inkling,1059,858,1917,55.24,44.76
fox,sephiroth,1349,1093,2442,55.24,44.76
villager,darkpit,253,205,458,55.24,44.76
diddykong,joker,3312,2684,5996,55.24,44.76
snake,villager,950,770,1720,55.23,44.77
duckhunt,inkling,903,732,1635,55.23,44.77
ken,bowserjr,687,557,1244,55.23,44.77
bowserjr,fox,1021,828,1849,55.22,44.78
lucas,falco,1894,1536,3430,55.22,44.78
ness,marth,1456,1181,2637,55.21,44.79
rob,megaman,1652,1340,2992,55.21,44.79
mario,byleth,2594,2105,4699,55.20,44.80
bowserjr,lucas,887,720,1607,55.20,44.80
olimar,inkling,595,483,1078,55.19,44.81
rob,link,3486,2830,6316,55.19,44.81
ryu,terry,1143,928,2071,55.19,44.81
shulk,sheik,367,298,665,55.19,44.81
pokemontrainer,sheik,953,774,1727,55.18,44.82
diddykong,kirby,1081,878,1959,55.18,44.82
robin,hero,1220,991,2211,55.18,44.82
ryu,isabelle,373,303,676,55.18,44.82
robin,mrgameandwatch,1407,1143,2550,55.18,44.82
ken,peach,677,550,1227,55.18,44.82
ness,pit,1077,875,1952,55.17,44.83
zelda,chrom,720,585,1305,55.17,44.83
pacman,luigi,2502,2033,4535,55.17,44.83
darkpit,byleth,871,708,1579,55.16,44.84
sonic,roy,2753,2238,4991,55.16,44.84
megaman,corrin,556,452,1008,55.16,44.84
robin,pyra,1830,1488,3318,55.15,44.85
banjokazooie,chrom,664,540,1204,55.15,44.85
bowserjr,pyra,1591,1294,2885,55.15,44.85
kazuya,ridley,1420,1155,2575,55.15,44.85
miibrawler,sephiroth,874,711,1585,55.14,44.86
rob,younglink,2681,2181,4862,55.14,44.86
zelda,sora,1250,1017,2267,55.14,44.86
falco,lucario,762,620,1382,55.14,44.86
hero,pikachu,1916,1559,3475,55.14,44.86
iceclimbers,peach,306,249,555,55.14,44.86
sonic,pyra,4158,3384,7542,55.13,44.87
mrgameandwatch,sephiroth,1746,1421,3167,55.13,44.87
metaknight,darkpit,360,293,653,55.13,44.87
kazuya,pacman,1940,1579,3519,55.13,44.87
ridley,cloud,2572,2094,4666,55.12,44.88
drmario,random,323,263,586,55.12,44.88
donkeykong,incineroar,3033,2470,5503,55.12,44.88
ganondorf,lucina,1763,1436,3199,55.11,44.89
miigunner,toonlink,383,312,695,55.11,44.89
captainfalcon,byleth,2884,2350,5234,55.10,44.90
ryu,incineroar,719,586,1305,55.10,44.90
ganondorf,cloud,2968,2419,5387,55.10,44.90
richter,samus,811,661,1472,55.10,44.90
lucas,captainfalcon,2104,1715,3819,55.09,44.91
bowserjr,wolf,1848,1507,3355,55.08,44.92
villager,random,168,137,305,55.08,44.92
darksamus,yoshi,1182,964,2146,55.08,44.92
bowser,fox,2539,2071,4610,55.08,44.92
kazuya,mewtwo,858,700,1558,55.07,44.93
palutena,bowser,6119,4993,11112,55.07,44.93
rob,olimar,876,715,1591,55.06,44.94
robin,toonlink,800,653,1453,55.06,44.94
sora,incineroar,1928,1574,3502,55.05,44.95
drmario,younglink,763,623,1386,55.05,44.95
ken,mario,1341,1095,2436,55.05,44.95
villager,wario,447,365,812,55.05,44.95
diddykong,miiswordfighter,567,463,1030,55.05,44.95
wolf,darkpit,1162,949,2111,55.05,44.95
pit,jigglypuff,622,508,1130,55.04,44.96
palutena,toonlink,1998,1632,3630,55.04,44.96
zerosuitsamus,darkpit,699,571,1270,55.04,44.96
bayonetta,rob,2840,2320,5160,55.04,44.96
snake,bayonetta,2786,2276,5062,55.04,44.96
younglink,falco,1798,1469,3267,55.04,44.96
terry,fox,2192,1791,3983,55.03,44.97
darksamus,fox,678,554,1232,55.03,44.97
pokemontrainer,jigglypuff,2970,2427,5397,55.03,44.97
wiifittrainer,hero,1384,1131,2515,55.03,44.97
bowser,byleth,3485,2848,6333,55.03,44.97
peach,pit,290,237,527,55.03,44.97
bayonetta,megaman,777,635,1412,55.03,44.97
banjokazooie,ganondorf,1275,1042,2317,55.03,44.97
peach,mario,1401,1145,2546,55.03,44.97
palutena,link,3985,3257,7242,55.03,44.97
banjokazooie,sheik,438,358,796,55.03,44.97
fox,mewtwo,734,600,1334,55.02,44.98
luigi,kingdedede,2701,2208,4909,55.02,44.98
hero,mrgameandwatch,2099,1716,3815,55.02,44.98
robin,corrin,707,578,1285,55.02,44.98
duckhunt,lucario,296,242,538,55.02,44.98
rosalina,byleth,625,511,1136,55.02,44.98
isabelle,piranhaplant,587,480,1067,55.01,44.99
rob,banjokazooie,2702,2210,4912,55.01,44.99
greninja,piranhaplant,879,719,1598,55.01,44.99
wiifittrainer,darkpit,616,504,1120,55.00,45.00
bayonetta,ike,1398,1144,2542,55.00,45.00
miibrawler,kingkrool,1118,915,2033,54.99,45.01
terry,isabelle,1538,1259,2797,54.99,45.01
ryu,pyra,1064,871,1935,54.99,45.01
incineroar,pyra,3049,2496,5545,54.99,45.01
drmario,banjokazooie,761,623,1384,54.99,45.01
duckhunt,littlemac,657,538,1195,54.98,45.02
zerosuitsamus,lucas,1332,1091,2423,54.97,45.03
samus,miibrawler,1107,907,2014,54.97,45.03
greninja,pyra,2530,2073,4603,54.96,45.04
olimar,ridley,299,245,544,54.96,45.04
miiswordfighter,pacman,670,549,1219,54.96,45.04
ken,kazuya,1185,971,2156,54.96,45.04
daisy,chrom,144,118,262,54.96,45.04
sonic,mrgameandwatch,2664,2183,4847,54.96,45.04
wario,captainfalcon,2044,1675,3719,54.96,45.04
robin,inkling,1441,1181,2622,54.96,45.04
pacman,toonlink,1081,886,1967,54.96,45.04
darksamus,ness,1353,1109,2462,54.96,45.04
terry,pichu,1061,870,1931,54.95,45.05
palutena,captainfalcon,3997,3278,7275,54.94,45.06
ryu,mewtwo,278,228,506,54.94,45.06
zelda,pacman,1707,1400,3107,54.94,45.06
miigunner,captainfalcon,645,529,1174,54.94,45.06
snake,toonlink,1791,1469,3260,54.94,45.06
simon,roy,356,292,648,54.94,45.06
pichu,mewtwo,384,315,699,54.94,45.06
bowserjr,cloud,2321,1904,4225,54.93,45.07
mrgameandwatch,pit,641,526,1167,54.93,45.07
duckhunt,link,909,746,1655,54.92,45.08
mrgameandwatch,darkpit,870,714,1584,54.92,45.08
metaknight,miiswordfighter,279,229,508,54.92,45.08
iceclimbers,incineroar,731,600,1331,54.92,45.08
metaknight,pyra,1077,884,1961,54.92,45.08
ike,wiifittrainer,1306,1072,2378,54.92,45.08
isabelle,roy,960,788,1748,54.92,45.08
mrgameandwatch,jigglypuff,2082,1710,3792,54.91,45.09
bowser,lucario,1125,924,2049,54.90,45.10
terry,captainfalcon,3409,2800,6209,54.90,45.10
ken,lucas,823,676,1499,54.90,45.10
pacman,pyra,2335,1918,4253,54.90,45.10
richter,darksamus,325,267,592,54.90,45.10
inkling,mewtwo,1082,889,1971,54.90,45.10
pacman,sephiroth,1587,1304,2891,54.89,45.11
ganondorf,incineroar,1991,1636,3627,54.89,45.11
darksamus,bowser,1285,1056,2341,54.89,45.11
ryu,wario,421,346,767,54.89,45.11
incineroar,byleth,2224,1828,4052,54.89,45.11
piranhaplant,roy,1303,1071,2374,54.89,45.11
hero,lucario,573,471,1044,54.89,45.11
kazuya,yoshi,2981,2451,5432,54.88,45.12
ike,mewtwo,720,592,1312,54.88,45.12
luigi,sora,1682,1383,3065,54.88,45.12
bayonetta,roy,1913,1573,3486,54.88,45.12
wiifittrainer,palutena,2527,2078,4605,54.88,45.12
terry,falco,3006,2472,5478,54.87,45.13
terry,link,2871,2361,5232,54.87,45.13
miigunner,luigi,885,728,1613,54.87,45.13
mewtwo,sora,688,566,1254,54.86,45.14
daisy,byleth,395,325,720,54.86,45.14
pichu,joker,1580,1300,2880,54.86,45.14
palutena,fox,3106,2556,5662,54.86,45.14
incineroar,fox,2005,1650,3655,54.86,45.14
olimar,metaknight,260,214,474,54.85,45.15
simon,peach,130,107,237,54.85,45.15
pichu,sephiroth,560,461,1021,54.85,45.15
littlemac,sora,1533,1262,2795,54.85,45.15
minmin,darksamus,679,559,1238,54.85,45.15
ryu,falco,634,522,1156,54.84,45.16
darksamus,piranhaplant,538,443,981,54.84,45.16
miiswordfighter,sheik,170,140,310,54.84,45.16
lucas,sheik,516,425,941,54.84,45.16
ike,zerosuitsamus,1480,1219,2699,54.84,45.16
olimar,byleth,414,341,755,54.83,45.17
terry,metaknight,1016,837,1853,54.83,45.17
samus,toonlink,1198,987,2185,54.83,45.17
palutena,ness,5872,4838,10710,54.83,45.17
pacman,ness,3277,2700,5977,54.83,45.17
sonic,greninja,1920,1582,3502,54.83,45.17
miibrawler,roy,1034,852,1886,54.83,45.17
kingkrool,darkpit,1000,824,1824,54.82,45.18
bowserjr,roy,1194,984,2178,54.82,45.18
kingdedede,isabelle,1365,1125,2490,54.82,45.18
luigi,incineroar,2271,1872,4143,54.82,45.18
miigunner,pit,131,108,239,54.81,45.19
ike,duckhunt,695,573,1268,54.81,45.19
toonlink,pit,376,310,686,54.81,45.19
villager,peach,302,249,551,54.81,45.19
daisy,link,473,390,863,54.81,45.19
banjokazooie,shulk,753,621,1374,54.80,45.20
minmin,kingdedede,2048,1689,3737,54.80,45.20
rob,mrgameandwatch,3577,2950,6527,54.80,45.20
pikachu,sephiroth,1375,1134,2509,54.80,45.20
darksamus,littlemac,742,612,1354,54.80,45.20
kingkrool,cloud,3905,3221,7126,54.80,45.20
drmario,link,983,811,1794,54.79,45.21
toonlink,mrgameandwatch,1229,1014,2243,54.79,45.21
megaman,byleth,806,665,1471,54.79,45.21
bowserjr,incineroar,1149,948,2097,54.79,45.21
zelda,ganondorf,1527,1260,2787,54.79,45.21
peach,darksamus,332,274,606,54.79,45.21
zerosuitsamus,random,332,274,606,54.79,45.21
metaknight,pikachu,859,709,1568,54.78,45.22
pichu,marth,430,355,785,54.78,45.22
samus,lucario,763,630,1393,54.77,45.23
sonic,zerosuitsamus,1883,1555,3438,54.77,45.23
littlemac,darkpit,735,607,1342,54.77,45.23
kingdedede,kingkrool,3211,2652,5863,54.77,45.23
ken,donkeykong,1546,1277,2823,54.76,45.24
miigunner,bowser,921,761,1682,54.76,45.24
falco,corrin,1515,1252,2767,54.75,45.25
lucas,marth,709,586,1295,54.75,45.25
zelda,roy,1903,1573,3476,54.75,45.25
metaknight,corrin,502,415,917,54.74,45.26
robin,piranhaplant,630,521,1151,54.74,45.26
greninja,jigglypuff,1469,1215,2684,54.73,45.27
kazuya,miigunner,590,488,1078,54.73,45.27
zelda,corrin,949,785,1734,54.73,45.27
villager,kingkrool,822,680,1502,54.73,45.27
samus,villager,741,613,1354,54.73,45.27
richter,megaman,440,364,804,54.73,45.27
darksamus,corrin,377,312,689,54.72,45.28
inkling,incineroar,2216,1834,4050,54.72,45.28
kingdedede,mrgameandwatch,2170,1796,3966,54.72,45.28
piranhaplant,zerosuitsamus,1063,880,1943,54.71,45.29
peach,kingkrool,965,799,1764,54.71,45.29
steve,darksamus,1001,829,1830,54.70,45.30
samus,pyra,2951,2444,5395,54.70,45.30
samus,wolf,3840,3181,7021,54.69,45.31
drmario,mario,1428,1183,2611,54.69,45.31
pacman,greninja,1650,1367,3017,54.69,45.31
fox,pit,723,599,1322,54.69,45.31
metaknight,kingkrool,799,662,1461,54.69,45.31
mrgameandwatch,ryu,882,731,1613,54.68,45.32
terry,piranhaplant,1548,1283,2831,54.68,45.32
cloud,jigglypuff,3793,3144,6937,54.68,45.32
darksamus,pyra,1047,868,1915,54.67,45.33
yoshi,mewtwo,1288,1068,2356,54.67,45.33
rob,isabelle,1671,1386,3057,54.66,45.34
zelda,kingdedede,1997,1657,3654,54.65,45.35
ken,bayonetta,934,775,1709,54.65,45.35
pacman,banjokazooie,1516,1258,2774,54.65,45.35
robin,darksamus,471,391,862,54.64,45.36
bayonetta,daisy,424,352,776,54.64,45.36
kazuya,darksamus,748,621,1369,54.64,45.36
hero,pyra,2606,2164,4770,54.63,45.37
ike,terry,2229,1851,4080,54.63,45.37
palutena,banjokazooie,3061,2542,5603,54.63,45.37
kingkrool,wolf,3164,2628,5792,54.63,45.37
bowserjr,pokemontrainer,1653,1373,3026,54.63,45.37
kingkrool,roy,2221,1846,4067,54.61,45.39
joker,lucina,4230,3516,7746,54.61,45.39
palutena,bowserjr,2128,1769,3897,54.61,45.39
